"ordine_ustat";"cantone";"canton_cd"
15;"Appenzello Esterno";"AR"
16;"Appenzello Interno";"AI"
19;"Argovia";"AG"
13;"Basilea Campagna";"BL"
12;"Basilea Città";"BS"
2;"Berna";"BE"
10;"Friburgo";"FR"
25;"Ginevra";"GE"
26;"Giura";"JU"
8;"Glarona";"GL"
18;"Grigioni";"GR"
3;"Lucerna";"LU"
24;"Neuchâtel";"NE"
7;"Nidvaldo";"NW"
6;"Obvaldo";"OW"
17;"San Gallo";"SG"
14;"Sciaffusa";"SH"
11;"Soletta";"SO"
5;"Svitto";"SZ"
21;"Ticino";"TI"
20;"Turgovia";"TG"
4;"Uri";"UR"
23;"Vallese";"VS"
22;"Vaud";"VD"
9;"Zugo";"ZG"
1;"Zurigo";"ZH"
